0.738,0.738,0.728,0.742,0.746,0.734,N
0.734,0.73,0.738,0.742,0.744,0.73,N
0.72,0.744,0.742,0.738,0.74,0.724,N
0.744,0.74,0.736,0.722,0.744,0.74,N
0.736,0.734,0.74,0.732,0.742,0.73,N
0.736,0.73,0.738,0.734,0.738,0.732,N
0.734,0.73,0.74,0.73,0.742,0.73,N
0.728,0.734,0.736,0.734,0.74,0.734,N
0.73,0.73,0.74,0.732,0.744,0.728,N
0.73,0.734,0.738,0.734,0.74,0.738,N
0.736,0.73,0.742,0.73,0.75,0.728,N
0.732,0.734,0.736,0.742,0.742,0.728,N
0.732,0.732,0.748,0.732,0.738,0.732,N
0.73,0.74,0.744,0.726,0.746,0.722,N
0.746,0.728,0.738,0.734,0.728,0.734,N
0.74,0.724,0.746,0.72,0.736,0.734,N
0.734,0.732,0.732,0.728,0.74,0.726,N
0.74,0.72,0.74,0.728,0.734,0.724,N
0.728,0.724,0.74,0.726,0.72,0.738,N
0.732,0.728,0.738,0.716,0.732,0.734,N
0.728,0.728,0.728,0.724,0.736,0.722,N
0.728,0.716,0.734,0.73,0.718,0.742,N
0.716,0.722,0.74,0.718,0.736,0.738,N
0.728,0.724,0.728,0.732,0.744,0.724,N
0.736,0.716,0.736,0.74,0.72,0.742,N
0.722,0.728,0.746,0.72,0.734,0.744,N
0.738,0.732,0.728,0.732,0.75,0.728,N
0.742,0.718,0.736,0.742,0.74,0.728,N
0.72,0.736,0.742,0.736,0.73,0.742,N
0.73,0.74,0.742,0.726,0.746,0.732,N
0.742,0.728,0.734,0.738,0.744,0.724,N
0.734,0.728,0.742,0.736,0.728,1.452,N
0.73,0.734,0.744,0.724,1.476,0.758,N
0.736,0.724,1.484,0.75,0.72,0.742,N
0.72,1.462,0.764,0.732,0.734,0.718,N
1.482,0.742,0.724,0.742,0.718,0.724,N
0.764,0.732,0.736,0.718,0.736,0.726,N
0.724,0.744,0.716,0.73,0.736,0.726,N
0.722,0.736,0.724,0.724,0.738,0.726,N
0.732,0.714,0.736,0.73,0.734,0.726,N
0.714,0.72,0.74,0.726,0.728,0.72,N
0.728,0.726,0.736,0.722,0.714,0.736,N
0.72,0.732,0.726,0.714,0.73,0.734,N
0.716,0.73,0.72,0.724,0.736,0.726,N
0.716,0.714,0.734,0.728,0.732,0.732,N
0.71,0.72,0.74,0.724,0.738,0.72,N
0.724,0.726,0.734,0.73,0.722,0.724,N
0.728,0.724,0.738,0.718,0.72,0.734,N
0.718,0.736,0.722,0.718,0.728,0.728,N
0.722,0.724,0.72,0.724,0.73,0.726,N
0.712,0.72,0.732,0.722,0.728,0.726,N
0.73,0.748,0.746,0.742,0.756,0.728,N
0.732,0.748,0.746,0.75,0.73,1.474,N
0.738,0.754,0.728,0.974,0.5,0.772,N
0.742,0.722,1.48,0.766,0.718,0.728,N
0.71,1.474,0.766,0.72,0.726,0.71,N
1.474,0.764,0.718,0.73,0.712,0.73,N
0.762,0.716,0.72,0.726,0.734,0.75,N
0.752,0.716,0.73,0.712,0.734,0.754,N
0.71,0.716,0.732,0.726,0.756,0.91,N
0.708,0.74,0.75,0.918,0.55,0.798,N
0.73,0.756,0.904,0.568,0.782,0.746,N
0.752,0.906,0.564,0.784,0.742,0.748,N
0.906,0.55,0.798,0.734,0.752,0.73,N
0.55,0.794,0.744,0.74,0.738,0.732,N
0.772,0.738,0.75,0.734,0.736,0.742,N
0.734,0.742,0.736,0.736,0.752,0.74,N
0.74,0.734,0.736,0.744,0.75,0.74,N
0.724,0.738,0.746,0.742,0.748,0.736,N
0.724,0.748,0.746,0.74,0.746,0.722,N
0.732,0.736,0.746,0.742,0.74,0.728,N
0.742,0.734,0.748,0.722,1.472,0.754,N
0.73,0.744,0.718,1.472,0.756,1.434,V
0.72,1.446,0.776,1.46,0.748,0.728,N
1.436,0.774,1.462,0.746,0.73,0.744,N
0.71,1.44,0.758,0.742,0.734,0.744,N
1.456,0.744,0.73,0.746,0.734,0.74,N
0.758,0.738,0.736,0.746,0.732,0.738,N
0.728,0.744,0.734,0.744,0.73,0.738,N
0.734,0.734,0.744,0.732,0.742,0.728,N
0.738,0.732,0.744,0.73,0.738,0.726,N
0.74,0.73,0.74,0.73,0.736,0.724,N
0.736,0.73,0.738,0.726,0.73,0.734,N
0.732,0.728,0.734,0.724,0.74,0.732,N
0.724,0.728,0.73,0.73,0.744,0.738,N
0.728,0.72,0.74,0.734,0.746,0.588,N
0.724,0.728,0.744,0.736,0.602,0.854,V
0.726,0.74,0.736,0.6,0.858,0.774,N
0.736,0.736,0.598,0.856,0.774,0.736,N
0.73,0.596,0.856,0.774,0.736,0.746,N
0.58,0.87,0.774,0.728,0.752,0.748,N
0.858,0.768,0.732,0.748,0.75,0.758,N
0.764,0.732,0.748,0.742,0.758,0.758,N
0.724,0.748,0.746,0.752,0.756,0.75,N
0.742,0.75,0.752,0.748,0.752,0.742,N
0.742,0.756,0.75,0.746,0.746,0.756,N
0.746,0.754,0.75,0.736,0.756,0.766,N
0.744,0.752,0.736,0.754,0.764,0.758,N
0.746,0.736,0.754,0.762,0.756,0.756,N
0.736,0.752,0.762,0.752,0.754,0.75,N
0.75,0.762,0.752,0.75,0.75,0.74,N
0.758,0.756,0.754,0.74,0.746,0.744,N
0.744,0.754,0.748,0.736,0.75,0.74,N
0.744,0.744,0.744,0.74,0.746,0.738,N
0.738,0.738,0.748,0.736,0.746,0.734,N
0.732,0.74,0.746,0.736,0.742,0.724,N
0.738,0.736,0.746,0.732,0.734,0.74,N
0.738,0.736,0.74,0.726,0.748,0.75,N
0.742,0.728,0.734,0.74,0.75,0.754,N
0.732,0.726,0.746,0.746,0.752,0.734,N
0.716,0.746,0.75,0.746,0.738,0.736,N
0.734,0.746,0.754,0.728,0.746,0.738,N
0.74,0.746,0.736,0.738,0.746,0.732,N
0.748,0.724,0.746,0.738,0.738,0.738,N
0.728,0.734,0.746,0.73,0.746,0.736,N
0.738,0.734,0.74,0.736,0.742,0.728,N
0.736,0.728,0.746,0.734,0.734,0.722,N
0.732,0.736,0.74,0.728,0.728,0.732,N
0.738,0.736,0.73,0.72,0.74,0.728,N
0.732,0.726,0.728,0.728,0.74,0.728,N
0.722,0.72,0.738,0.728,0.742,0.722,N
0.722,0.726,0.738,0.73,0.732,0.734,N
0.732,0.724,0.742,0.724,0.74,0.74,N
0.73,0.728,0.736,0.73,0.75,0.726,N
0.736,0.72,0.742,0.738,0.74,0.724,N
0.726,0.734,0.748,0.728,0.732,0.742,N
0.738,0.736,0.74,0.724,0.75,0.746,N
0.744,0.726,0.732,0.74,0.754,0.732,N
0.728,0.73,0.742,0.746,0.742,0.59,N
0.718,0.746,0.752,0.73,0.602,0.866,V
0.742,0.75,0.73,0.602,0.868,0.784,N
0.748,0.726,0.6,0.872,0.78,0.754,N
0.726,0.588,0.882,0.78,0.754,0.738,N
