start_index,stop_index,signal_class
42,4408,N
408,4775,N
775,5149,N
1149,5524,N
1524,5892,N
1892,6266,N
2266,6633,N
2633,7000,N
3000,7374,N
3374,7749,N
3749,8100,N
4100,8466,N
4466,8832,N
4832,9207,N
5207,9573,N
5573,9940,N
5940,10307,N
6307,10673,N
6673,11040,N
7040,11424,N
7424,11782,N
7782,12148,N
8148,12507,N
8507,12865,N
8865,13247,N
9247,13614,N
9614,13973,N
9973,14331,N
10331,14697,N
10697,15073,N
11073,15431,N
11431,15789,N
11789,16164,N
12164,16514,N
12514,16880,N
12880,17255,N
13255,17614,N
13614,17980,N
13980,18346,N
14346,18721,N
14721,19080,N
15080,19446,N
15446,19813,N
15813,20179,N
16179,20546,N
16546,20897,N
16897,21271,N
17271,21630,N
17630,22004,N
18004,22379,N
18379,22746,N
18746,23112,N
19112,23471,N
19471,23838,N
19838,24204,N
20204,24571,N
20571,24953,N
20953,25312,N
21312,25695,N
21695,26062,N
22062,26428,N
22428,26803,N
22803,27170,N
23170,27537,N
23537,27911,N
23911,28294,N
24294,28661,N
24661,29028,N
25028,29411,N
25411,29777,N
25777,30161,N
26161,30519,N
26519,30886,N
26886,31268,N
27268,31644,N
27644,32010,N
28010,32393,N
28393,32752,N
28752,33128,N
29128,33502,N
29502,33868,N
29868,34235,N
30235,34602,N
30602,34968,N
30968,35343,N
31343,35718,N
31718,36068,N
32068,36435,N
32435,36809,N
32809,37176,N
33176,37543,N
33543,37909,N
33909,38276,N
34276,38643,N
34643,39017,N
35017,39383,N
35383,39759,N
35759,40125,N
36125,40493,N
36493,40868,N
36868,41250,N
37250,41617,N
37617,41992,N
37992,42359,N
38359,42734,N
38734,43109,N
39109,43484,N
39484,43858,N
39858,44225,N
40225,44599,N
40599,44966,N
40966,45325,N
41325,45692,N
41692,46066,N
42066,46433,N
42433,46800,N
42800,47166,N
43166,47526,N
43526,47900,N
43900,48274,N
44274,48616,N
44616,48991,N
44991,49357,N
45357,49732,N
45732,50091,N
46091,50466,N
46466,50833,N
46833,51216,N
47216,51582,N
47582,51949,N
47949,52323,N
48323,52683,N
48683,53065,N
49065,53432,N
49432,53807,N
49807,54182,N
50182,54557,N
50557,54940,N
50940,55307,N
51307,55690,N
51690,56065,N
52065,56432,N
52432,56815,N
52815,57198,N
53198,57557,N
53557,57931,N
53931,58315,N
54315,58698,N
54698,59065,N
55065,59449,N
55449,59831,N
55831,60206,N
56206,60582,N
56582,60956,N
56956,61339,N
57339,61706,N
57706,62073,N
58073,62447,N
58447,62815,N
58815,63197,N
59197,63564,N
59564,63931,N
59931,64297,N
60297,64680,N
60680,65047,N
61047,65414,N
61414,65797,N
61797,66171,N
62171,66530,N
62530,66913,N
62913,67288,N
63288,67663,N
63663,68022,N
64022,68396,N
64396,68755,N
64755,69130,N
65130,69504,N
65504,69871,N
65871,70238,N
66238,70604,N
66604,70971,N
66971,71346,N
67346,71712,N
67712,72104,N
68104,72471,N
68471,72845,N
68845,73212,N
69212,73595,N
69595,73954,N
69954,74320,N
70320,74696,N
70696,75070,N
71070,75445,N
71445,75803,N
71803,76162,N
72162,76528,N
72528,76911,N
72911,77262,N
73262,77628,N
73628,78070,N
74070,78377,N
74377,78736,N
74736,79103,N
75103,79469,N
75469,79844,N
75844,80211,N
76211,80577,N
76577,80943,N
76943,81294,N
77294,81669,N
77669,82027,N
78027,82393,N
78393,82768,N
78768,83118,N
79118,83493,N
79493,83860,N
79860,84227,N
80227,84601,N
80601,84968,N
80968,85343,N
81343,85701,N
81701,86076,N
82076,86451,N
82451,86809,N
82809,87176,N
83176,87543,N
83543,87918,N
83918,88284,N
84284,88651,N
84651,89026,N
85026,89400,N
85400,89776,N
85776,90134,N
86134,90509,N
86509,90876,N
86876,91242,N
87242,91608,N
87608,91976,N
87976,92358,N
88358,92724,N
88724,93100,N
89100,93466,N
89466,93842,N
89842,94200,N
90200,94574,N
90574,94933,N
90933,95300,N
91300,95674,N
91674,96033,N
92033,96408,N
92408,96774,N
92774,97133,N
93133,97508,N
93508,97875,N
93875,98241,N
94241,98607,N
94607,98966,N
94966,99332,N
95332,99707,N
95707,100066,N
96066,100424,N
96424,100790,N
96790,101165,N
97165,101516,N
97516,101899,N
97899,102257,N
98257,102615,N
98615,102982,N
98982,103348,N
99348,103723,N
99723,104090,N
100090,104456,N
100456,104823,N
100823,105181,N
101181,105540,N
101540,105906,N
101906,106272,N
102272,106631,N
102631,106981,N
102981,107347,N
103347,107697,N
103697,108064,N
104064,108430,N
104430,108789,N
104789,109155,N
105155,109506,N
105506,109872,N
105872,110222,N
106222,110580,N
106580,110939,N
106939,111296,N
107296,111655,N
107655,112013,N
108013,112372,N
108372,112729,N
108729,113087,N
109087,113454,N
109454,113821,N
115894,120261,N
116261,120628,N
116628,120994,N
116994,121361,N
117361,121720,N
117720,122102,N
118102,122485,N
118485,122844,N
118844,123227,N
119227,123602,N
119602,123968,N
119968,124335,N
120335,124710,N
120710,125068,N
121068,125452,N
121452,125826,N
121826,126185,N
122185,126551,N
122551,126926,N
122926,127309,N
123309,127684,N
123684,128067,N
124067,128434,N
124434,128818,N
124818,129200,N
125200,129575,N
125575,129942,N
125942,130310,N
126310,130700,N
126700,131067,N
127067,131442,N
127442,131825,N
127825,132184,N
128184,132566,N
128566,132942,N
128942,133324,N
129324,133708,N
129708,134082,N
130082,134450,N
130450,134825,N
136014,140373,N
136373,140731,N
136731,141098,N
137098,141464,N
137464,141831,N
137831,142197,N
138197,142564,N
138564,142939,N
138939,143322,N
139322,143681,N
139681,144064,N
140064,144446,N
140446,144821,N
140821,145196,N
141196,145571,N
141571,145954,N
141954,146321,N
142321,146696,N
142696,147079,N
143079,147463,N
143463,147845,N
143845,148220,N
144220,148596,N
144596,148971,N
144971,149345,N
145345,149728,N
145728,150103,N
146103,150479,N
146479,150862,N
146862,151237,N
147237,151628,N
147628,152003,N
148003,152379,N
148379,152753,N
148753,153136,N
149136,153503,N
149503,153877,N
149877,154253,N
150253,154627,N
150627,154986,N
150986,155360,N
151360,155719,N
151719,156086,N
152086,156452,N
152452,156819,N
152819,157201,N
153201,157560,N
153560,157927,N
153927,158294,N
154294,158660,N
154660,159035,N
155035,159393,N
155393,159776,N
155776,160143,N
156143,160517,N
156517,160884,N
156884,161251,N
157251,161617,N
157617,161984,N
157984,162367,N
158367,162734,N
158734,163109,N
159109,163484,N
159484,163858,N
159858,164225,N
160225,164600,N
160600,164966,N
160966,165339,N
161339,165685,N
161685,166053,N
162053,166408,N
162408,166757,N
162757,167108,N
163108,167465,N
163465,167815,N
163815,168174,N
164174,168540,N
164540,168898,N
164898,169249,N
165249,169607,N
165607,169965,N
165965,170323,N
166323,170689,N
166689,171040,N
167040,171405,N
167405,171764,N
167764,172122,N
168122,172488,N
168488,172847,N
168847,173205,N
169205,173563,N
169563,173929,N
169929,174288,N
170288,174646,N
170646,175021,N
171021,175380,N
171380,175737,N
171737,176088,N
172088,176461,N
172461,176821,N
172821,177187,N
173187,177545,N
173545,177903,N
173903,178270,N
174270,178644,N
174644,179003,N
175003,179378,N
175378,179728,N
175728,180102,N
176102,180470,N
176470,180852,N
176852,181227,N
177227,181602,N
177602,181968,N
177968,182344,N
178344,182718,N
178718,183093,N
179093,183468,N
179468,183842,N
179842,184210,N
180210,184584,N
180584,184967,N
180967,185334,N
181334,185709,N
181709,186075,N
182075,186450,N
182450,186817,N
182817,187192,N
183192,187567,N
183567,187941,N
183941,188325,N
184325,188691,N
184691,189074,N
185074,189441,N
185441,189816,N
185816,190182,N
186182,190549,N
186549,190924,N
186924,191299,N
187299,191665,N
187665,192040,N
188040,192423,N
188423,192790,N
188790,193173,N
189173,193539,N
189539,193907,N
189907,194289,N
190289,194656,N
190656,195031,N
191031,195406,N
191406,195773,N
191773,196156,N
192156,196530,N
192530,196913,N
192913,197280,N
193280,197647,N
193647,198023,N
194023,198397,N
194397,198780,N
194780,199155,N
195155,199530,N
195530,199913,N
195913,200272,N
196272,200655,N
196655,201030,N
197030,201406,N
197406,201779,N
197779,202146,N
198146,202521,N
198521,202903,N
198903,203262,N
199262,203637,N
199637,204004,N
200004,204369,N
200369,204745,N
200745,205104,N
201104,205478,N
201478,205845,N
201845,206220,N
202220,206594,N
202594,206969,N
202969,207337,N
203337,207719,N
203719,208078,N
204078,208444,N
204444,208803,N
204803,209177,N
205177,209552,N
205552,209910,N
205910,210269,N
206269,210635,N
206635,210994,N
206994,211360,N
207360,211727,N
207727,212093,N
208093,212468,N
208468,212818,N
208818,213193,N
209193,213559,N
209559,213917,N
209917,214284,N
210284,214625,N
210625,215000,N
211000,215358,N
211358,215717,N
211717,216075,N
212075,216425,N
212425,216784,N
212784,217150,N
213150,217517,N
213517,217875,N
213875,218241,N
214241,218599,N
214599,218958,N
214958,219317,N
215317,219691,N
215691,220057,N
216057,220424,N
216424,220782,N
216782,221149,N
217149,221507,N
217507,221874,N
217874,222240,N
218240,222606,N
218606,222973,N
218973,223332,N
219332,223706,N
219706,224072,N
220072,224447,N
220447,224814,N
220814,225181,N
221181,225548,N
221548,225930,N
221930,226297,N
222297,226672,N
222672,227039,N
223039,227414,N
223414,227788,N
223788,228163,N
224163,228522,N
224522,228896,N
224896,229263,N
225263,229646,N
225646,230020,N
226020,230379,N
226379,230754,N
226754,231121,N
227121,231504,N
227504,231879,N
227879,232254,N
228254,232628,N
228628,233004,N
229004,233378,N
229378,233761,N
229761,234137,N
230137,234511,N
230511,234894,N
230894,235278,N
231278,235661,N
231661,236044,N
232044,236411,N
232411,236786,N
232786,237168,N
233168,237544,N
233544,237919,N
233919,238302,N
234302,238669,N
234669,239043,N
235043,239419,N
235419,239793,N
235793,240168,N
236168,240543,N
236543,240926,N
236926,241309,N
237309,241676,N
237676,242051,N
238051,242418,N
238418,242801,N
238801,243175,N
239175,243550,N
239550,243917,N
239917,244292,N
240292,244667,N
240667,245042,N
241042,245408,N
241408,245775,N
241775,246158,N
242158,246517,N
242517,246891,N
242891,247257,N
243257,247615,N
243615,247982,N
243982,248340,N
244340,248691,N
244691,249049,N
245049,249402,N
245402,249765,N
245765,250131,N
246131,250474,N
246474,250832,N
246832,251190,N
247190,251541,N
247541,251890,N
247890,252264,N
248264,252607,N
248607,252972,N
248972,253322,N
249322,253677,N
249677,254038,N
250038,254397,N
250397,254747,N
250747,255097,N
251097,255455,N
251455,255806,N
251806,256163,N
252163,256522,N
252522,256888,N
252888,257221,V
253221,257938,N
253938,258287,N
254287,258646,N
254646,258996,N
254996,259362,N
255362,259721,N
255721,260078,N
256078,260420,N
256420,260779,N
256779,261129,N
257129,261495,N
257495,261854,N
257854,262220,N
258220,262586,N
258586,262945,N
258945,263311,N
259311,263670,N
259670,264044,N
260044,264411,N
260411,264785,N
260785,265136,N
261136,265502,N
261502,265860,N
261860,266227,N
262227,266594,N
262594,266968,N
262968,267327,N
263327,267693,N
263693,268060,N
264060,268434,N
264434,268801,N
264801,269159,N
265159,269533,N
265533,269892,N
265892,270267,N
266267,270625,N
266625,270992,N
266992,271358,N
267358,271716,N
267716,272075,N
268075,272441,N
268441,272791,N
268791,273158,N
269158,273524,N
269524,273882,N
269882,274241,N
270241,274615,N
270615,274982,N
270982,275340,N
271340,275715,N
271715,276065,N
272065,276439,N
272439,276806,N
272806,277165,N
273165,277523,N
273523,277906,N
273906,278256,N
274256,278639,N
274639,279006,N
275006,279364,N
275364,279738,N
275738,280098,N
276098,280463,N
276463,280838,N
276838,281205,N
277205,281572,N
277572,281938,N
277938,282304,N
278304,282664,N
278664,283038,N
279038,283404,N
279404,283771,N
279771,284145,N
280145,284520,N
280520,284878,N
280878,285253,N
281253,285620,N
281620,285994,N
281994,286361,N
282361,286728,N
282728,287103,N
283103,287478,N
283478,287844,N
283844,288211,N
284211,288577,N
284577,288944,N
284944,289293,N
285293,289652,N
285652,290002,N
286002,290352,N
286352,290709,N
286709,291068,N
287068,291434,N
287434,291776,N
287776,292126,N
288126,292492,N
288492,292850,N
288850,293209,N
289209,293566,N
289566,293925,N
289925,294291,N
290291,294650,N
290650,295016,N
291016,295374,N
291374,295741,N
291741,296107,N
292107,296482,N
292482,296840,N
292840,297207,N
293207,297565,N
293565,297932,N
293932,298306,N
294306,298673,N
294673,299039,N
295039,299398,N
295398,299765,N
295765,300156,N
296156,300506,N
296506,300880,N
296880,301246,N
297246,301613,N
297613,301980,N
297980,302347,N
298347,302713,N
298713,303088,N
299088,303455,N
299455,303837,N
299837,304196,N
300196,304562,N
300562,304937,N
300937,305303,N
301303,305670,N
301670,306044,N
302044,306411,N
302411,306777,N
302777,307136,N
303136,307494,N
303494,307861,N
303861,308236,N
304236,308601,N
304601,308960,N
304960,309319,N
305319,309677,N
305677,310060,N
306060,310424,N
306424,310776,N
306776,311150,N
307150,311500,N
307500,311875,N
307875,312242,N
308242,312599,N
308599,312958,N
308958,313325,N
309325,313707,N
309707,314066,N
310066,314431,N
310431,314790,N
310790,315156,N
311156,315531,N
311531,315889,N
311889,316256,N
312256,316615,N
312615,316989,N
312989,317372,N
313372,317739,N
313739,318105,N
314105,318480,N
314480,318847,N
314847,319221,N
315221,319596,N
315596,319955,N
315955,320329,N
316329,320696,N
316696,321070,N
317070,321437,N
317437,321811,N
317811,322178,N
318178,322553,N
318553,322920,N
318920,323295,N
319295,323685,N
319685,324044,N
320044,324427,N
320427,324785,N
320785,325168,N
321168,325544,N
321544,325918,N
321918,326293,N
322293,326668,N
322668,327050,N
323050,327425,N
323425,327800,N
323800,328167,N
324167,328542,N
324542,328916,N
324916,329284,N
325284,329674,N
325674,330049,N
326049,330424,N
326424,330791,N
326791,331173,N
327173,331533,N
327533,331907,N
327907,332282,N
328282,332665,N
328665,333031,N
329031,333406,N
329406,333773,N
329773,334147,N
330147,334514,N
330514,334880,N
330880,335255,N
331255,335613,N
331613,335988,N
331988,336362,N
332362,336721,N
332721,337095,N
333095,337470,N
333470,337830,N
333830,338204,N
334204,338570,N
334570,338936,N
334936,339304,N
335304,339670,N
335670,340036,N
336036,340403,N
336403,340786,N
336786,341152,N
337152,341518,N
337518,341877,N
337877,342252,N
338252,342626,N
338626,342993,N
338993,343360,N
339360,343726,N
339726,344100,N
340100,344475,N
340475,344834,N
340834,345209,N
341209,345575,N
341575,345949,N
341949,346324,N
342324,346700,N
342700,347067,N
343067,347441,N
343441,347816,N
343816,348174,N
344174,348557,N
344557,348924,N
344924,349291,N
345291,349665,N
