start_index,stop_index,signal_class
433,4923,N
923,5636,N
1636,6303,N
2303,6756,N
2756,7217,A
3217,7672,A
4692,9167,A
5167,10071,N
6071,10537,A
6537,10994,A
6994,11780,N
7780,12259,N
8259,12623,V
8623,13232,N
9232,13714,N
17483,21743,V
17743,22153,A
19067,23521,A
20885,25332,A
25871,30127,V
26983,31599,N
27599,32049,V
28049,32961,N
28961,33324,A
29324,33587,V
30511,34975,N
37057,41543,N
37543,41795,V
37795,42245,N
38245,42759,N
38759,43037,V
39037,43509,N
39509,44283,N
40283,44747,V
41731,46303,N
42303,46785,A
42785,47494,N
54770,59025,V
55721,60247,N
56247,60513,V
67699,72165,A
69103,73589,N
69589,73867,A
69867,74160,N
70160,74415,N
70415,74883,N
70883,75345,N
74795,79045,V
76411,81091,N
77091,81583,N
77583,82031,N
78031,82479,N
78479,82751,V
79581,83831,V
79831,84611,N
80611,85017,V
86563,90821,V
86821,91297,N
88125,92376,A
96011,100279,V
97322,101582,V
98057,102308,V
104997,109515,A
107155,111849,N
108753,113247,N
109247,113710,A
109710,114161,A
111001,115455,N
111455,116069,N
112519,116775,N
112775,117101,N
113101,117387,V
114012,118282,V
114282,118771,N
115915,120171,V
120020,124613,A
120613,124891,V
121962,126497,N
122497,127203,N
123203,127663,N
123663,128128,A
124128,128954,N
124954,129625,N
125625,130123,N
126123,130387,A
126387,130641,N
126641,131004,N
127004,131327,N
127327,131804,A
127804,132577,N
134229,138497,V
135205,139697,V
136601,140914,A
136914,141227,A
137227,141517,N
137517,141791,A
139891,144161,A
142613,147373,N
143373,147773,A
143773,148291,N
144291,148725,N
144725,149182,N
145182,149434,V
146125,150583,V
147899,152155,V
151033,155321,A
154597,159083,A
155083,159549,N
155549,160015,N
156015,160496,N
156496,160953,N
156953,161497,N
157497,161896,V
157896,162405,N
158405,162875,N
158875,163352,N
159352,164141,N
160141,164623,N
160623,165084,A
161084,165367,V
161367,166335,N
162335,166779,N
162779,167239,N
165527,169975,V
166959,171257,A
